symptoms,department
"vaginal infection, period cramps, pelvic pain",Gynecologist
"fungal infection, skin rash, acne, pigmentation",Dermatologist
"newborn feeding issue, child fever",Pediatrician
"stomach cramps, constipation",Gastroenterologist
"fatigue, loss of appetite, fever",General Physician
"period cramps, painful periods, pregnancy nausea, white discharge",Gynecologist
"non healing ulcer, unexplained weight loss",Oncologist
"sudden vision loss, eye discharge",Ophthalmologist
"dry eyes, red eye, double vision, watering eyes",Ophthalmologist
"bleeding while brushing, bleeding gums",Dentist
"gum swelling, pain while chewing",Dentist
"difficulty starting urination, kidney stone pain, groin pain",Urologist
"rash with fever, child wheezing, child fever",Pediatrician
"watering eyes, double vision, sudden vision loss",Ophthalmologist
"vaccination query, dehydration, child fever, diarrhea",Pediatrician
"gum swelling, broken tooth, swollen gums, cavity pain",Dentist
"fatigue, loss of appetite, body ache, weakness",General Physician
"leg swelling, irregular heartbeat, pressure in chest, sweating",Cardiologist
"back pain near kidneys, frequent urination, urine infection",Urologist
"one sided weakness, dizziness",Neurologist
"severe headache, dizziness, tremor, migraine",Neurologist
"high blood pressure, shortness of breath, palpitations",Cardiologist
"social anxiety, trauma flashbacks, suicidal thoughts",Psychiatrist
"baby vomiting, rash with fever, dehydration",Pediatrician
"foreign body sensation, watering eyes",Ophthalmologist
"insomnia, addiction",Psychiatrist
"dehydration, rash with fever",Pediatrician
"ringing in ear, loss of voice",ENT
"postpartum bleeding, vaginal infection",Gynecologist
"wrist injury, knee pain, difficulty walking",Orthopedic
"period cramps, pelvic pain, breast tenderness",Gynecologist
"period cramps, pregnancy nausea",Gynecologist
"lower back pain radiating, joint pain, wrist injury",Orthopedic
"itching, acne, psoriasis, fungal infection",Dermatologist
"red eye, foreign body sensation, dry eyes",Ophthalmologist
"severe headache, migraine, tingling",Neurologist
"child fever, newborn feeding issue, ear pain",Pediatrician
"white discharge, painful periods, breast tenderness",Gynecologist
"constipation, loss of appetite, blood in stool",Gastroenterologist
"eye pain, watering eyes, sensitivity to light",Ophthalmologist
"redness, dry skin, hives",Dermatologist
"acne, hives",Dermatologist
"vomiting, abdominal pain, constipation",Gastroenterologist
"weakness, cough, dizziness",General Physician
"redness, dandruff, eczema, psoriasis",Dermatologist
"pressure in chest, breathlessness at night, dizziness",Cardiologist
"irregular periods, painful periods",Gynecologist
"fungal infection, psoriasis, skin rash, pigmentation",Dermatologist
"baby vomiting, diarrhea, newborn feeding issue",Pediatrician
"child wheezing, newborn feeding issue, vaccination query",Pediatrician
"back pain, bone pain",Orthopedic
"anger issues, hopelessness, depressed mood",Psychiatrist
"red eye, double vision, itchy eyes",Ophthalmologist
"skin allergy, ringworm",Dermatologist
"sweating, fatigue with breathlessness, pressure in chest",Cardiologist
"ear pain, baby constipation",Pediatrician
"fungal infection, ringworm, itching",Dermatologist
"neck stiffness, sprain, lower back pain radiating",Orthopedic
"swollen gums, broken tooth",Dentist
"testicular swelling, burning urination",Urologist
"hair fall, dry skin, itching",Dermatologist
"chest tightness, breathlessness at night, irregular heartbeat",Cardiologist
"rash with fever, dehydration, diarrhea",Pediatrician
"itching, skin allergy",Dermatologist
"ear pain, sinus pain, sore throat, nose bleeding",ENT
"pus near gum, pain while chewing, mouth ulcer, cavity pain",Dentist
"weakness, cough, fever",General Physician
"speech difficulty, numbness, dizziness, one sided weakness",Neurologist
"joint pain, hip pain, arthritis",Orthopedic
"breathlessness at night, shortness of breath, fatigue with breathlessness",Cardiologist
"pain while chewing, gum swelling, toothache",Dentist
"chills, cough, cold",General Physician
"blood in stool, stomach cramps, gas, constipation",Gastroenterologist
"lower back pain radiating, difficulty walking, wrist injury",Orthopedic
"mild fever, dizziness, sore throat",General Physician
"missed period, pregnancy nausea, irregular periods",Gynecologist
"suicidal thoughts, depressed mood, hopelessness",Psychiatrist
"itching, period cramps, pregnancy nausea",Gynecologist
"kidney stone pain, frequent urination",Urologist
"irregular heartbeat, rapid heartbeat",Cardiologist
"gas, food poisoning, abdominal pain",Gastroenterologist
"difficulty concentrating, suicidal thoughts, stress",Psychiatrist
"newborn feeding issue, baby constipation, rash with fever",Pediatrician
"anger issues, insomnia, stress, hopelessness",Psychiatrist
"missed period, white discharge, itching",Gynecologist
"fatigue, flu",General Physician
"dry eyes, night vision problem, double vision",Ophthalmologist
"heavy bleeding, itching",Gynecologist
"lower back pain radiating, bone pain, difficulty walking",Orthopedic
"watering eyes, eye pain, blurred vision, swollen eyelid",Ophthalmologist
"dizziness, palpitations, irregular heartbeat, chest pain",Cardiologist
"night urination, burning urination, frequent urination, painful urination with fever",Urologist
"sweating, chest tightness, chest pain",Cardiologist
"knee pain, sprain, swelling",Orthopedic
"eye strain headache, swollen eyelid, night vision problem",Ophthalmologist
"swollen lymph nodes, loss of appetite, unusual bleeding",Oncologist
"runny nose, sore throat, ringing in ear",ENT
"nose bleeding, vertigo, loss of voice",ENT
"fast breathing, child fever",Pediatrician
"difficulty walking, arthritis, muscle strain, back pain",Orthopedic
"social anxiety, overthinking, hopelessness",Psychiatrist
"swollen gums, gum swelling, wisdom tooth pain, pus near gum",Dentist
"skin rash, dry skin, boils",Dermatologist
"frequent urination, night urination, burning urination",Urologist
"diarrhea, baby constipation, child cough, child stomach pain",Pediatrician
"lower abdominal pain urination, urinary urgency, back pain near kidneys, reduced urine flow",Urologist
"back pain, neck stiffness, shoulder pain",Orthopedic
"bad breath, pain while chewing, toothache",Dentist
"mouth ulcer, bleeding gums",Dentist
"difficulty walking, fracture, joint pain",Orthopedic
"reduced urine flow, urinary urgency",Urologist
"hair fall, pigmentation, boils, acne",Dermatologist
"shortness of breath, leg swelling, breathlessness at night",Cardiologist
"back pain near kidneys, frequent urination, urine leakage",Urologist
"chest pain, sweating, breathlessness at night, high blood pressure",Cardiologist
"hopelessness, depressed mood, addiction, anger issues",Psychiatrist
"blurred vision, sudden vision loss, sensitivity to light, foreign body sensation",Ophthalmologist
"speech difficulty, dizziness, numbness",Neurologist
"constipation, bloating, diarrhea",Gastroenterologist
"period cramps, painful periods, lower abdominal pain, heavy bleeding",Gynecologist
"headache, mild fever",General Physician
"heavy bleeding, missed period, pelvic pain, pregnancy nausea",Gynecologist
"child wheezing, child cough, ear pain",Pediatrician
"child wheezing, baby vomiting, blocked nose",Pediatrician
"dry eyes, sensitivity to light, eye discharge",Ophthalmologist
"dandruff, fungal infection, acne",Dermatologist
"persistent fatigue, swollen lymph nodes",Oncologist
"mood swings, social anxiety",Psychiatrist
"psoriasis, hair fall",Dermatologist
"balance problem, blurred vision with headache",Neurologist
"hair fall, boils, redness, eczema",Dermatologist
"nose bleeding, ringing in ear, loss of voice",ENT
"back pain near kidneys, frequent urination, lower abdominal pain urination",Urologist
"indigestion, jaundice, food poisoning",Gastroenterologist
"balance problem, numbness",Neurologist
"newborn feeding issue, child wheezing, vaccination query",Pediatrician
"reduced urine flow, painful urination with fever, burning urination, kidney stone pain",Urologist
"persistent hoarseness, loss of appetite",Oncologist
"leg swelling, high blood pressure",Cardiologist
"knee pain, muscle strain, neck stiffness",Orthopedic
"headache, dizziness, mild fever",General Physician
"cough, runny nose, fatigue",General Physician
"urine leakage, burning urination, urine infection",Urologist
"diarrhea, vaccination query, child fever",Pediatrician
"frequent urination, lower abdominal pain urination, urine leakage",Urologist
"depressed mood, anxiety, panic attacks, trauma flashbacks",Psychiatrist
"constipation, jaundice, diarrhea",Gastroenterologist
"anger issues, hopelessness, overthinking",Psychiatrist
"rash with fever, child cough, child stomach pain",Pediatrician
"depressed mood, difficulty concentrating, hallucinations",Psychiatrist
"nose bleeding, sore throat",ENT
"knee pain, shoulder pain",Orthopedic
"swollen lymph nodes, blood in cough, abdominal swelling, breast lump",Oncologist
"vaccination query, child wheezing, dehydration",Pediatrician
"food poisoning, gas",Gastroenterologist
"confusion, fainting",Neurologist
"sudden vision loss, night vision problem, sensitivity to light, itchy eyes",Ophthalmologist
"hallucinations, social anxiety",Psychiatrist
"hallucinations, depressed mood, trauma flashbacks",Psychiatrist
"body ache, loss of appetite",General Physician
"urinary urgency, difficulty starting urination, urine infection, frequent urination",Urologist
"urine leakage, groin pain, difficulty starting urination",Urologist
"hives, hair fall, skin allergy",Dermatologist
"urine infection, kidney stone pain, frequent urination, urinary urgency",Urologist
"swelling, shoulder pain, muscle strain",Orthopedic
"vaginal infection, lower abdominal pain, postpartum bleeding",Gynecologist
"itchy eyes, double vision, dry eyes, difficulty seeing far",Ophthalmologist
"skin rash, eczema, hives, itching",Dermatologist
"eye discharge, foreign body sensation, dry eyes",Ophthalmologist
"arthritis, shoulder pain",Orthopedic
"fainting, numbness, balance problem",Neurologist
"difficulty concentrating, anxiety",Psychiatrist
"chest tightness, chest pain",Cardiologist
"rapid heartbeat, shortness of breath, palpitations",Cardiologist
"mouth ulcer, gum swelling",Dentist
"difficulty concentrating, anxiety, panic attacks, hopelessness",Psychiatrist
"difficulty concentrating, panic attacks, addiction, depressed mood",Psychiatrist
"pus near gum, bleeding while brushing",Dentist
"food poisoning, gas, vomiting, indigestion",Gastroenterologist
"persistent fatigue, non healing ulcer, swollen lymph nodes, persistent hoarseness",Oncologist
"constipation, diarrhea",Gastroenterologist
"bleeding while brushing, cavity pain, bad breath, wisdom tooth pain",Dentist
"fast breathing, child wheezing, rash with fever",Pediatrician
"swollen eyelid, itchy eyes",Ophthalmologist
"nausea, gas, abdominal pain",Gastroenterologist
"pcos symptoms, itching, irregular periods, missed period",Gynecologist
"blocked nose, child fever",Pediatrician
"sinus pain, loss of voice, vertigo, throat infection",ENT
"urinary urgency, groin pain",Urologist
"knee pain, joint pain, sprain, fracture",Orthopedic
"blood in urine, groin pain, testicular swelling",Urologist
"white discharge, pregnancy nausea, postpartum bleeding",Gynecologist
"speech difficulty, neck pain radiating, tremor",Neurologist
"insomnia, overthinking, anxiety",Psychiatrist
"hip pain, shoulder pain, neck stiffness",Orthopedic
"abdominal pain, constipation",Gastroenterologist
"nose bleeding, ear discharge, hearing loss, blocked nose",ENT
"hopelessness, social anxiety, anxiety",Psychiatrist
"shortness of breath, rapid heartbeat, left arm pain, fainting",Cardiologist
"fainting, fatigue with breathlessness, shortness of breath",Cardiologist
"psoriasis, pigmentation",Dermatologist
"rash with fever, baby vomiting, ear pain, dehydration",Pediatrician
"period cramps, breast tenderness, painful periods",Gynecologist
"child cough, baby constipation",Pediatrician
"low grade fever, fever, dizziness",General Physician
"redness, dry skin, eczema",Dermatologist
"swelling, hip pain",Orthopedic
"diarrhea, child sore throat, vaccination query",Pediatrician
"itching, postpartum bleeding, white discharge",Gynecologist
"loss of appetite, night sweats, non healing ulcer, persistent hoarseness",Oncologist
"confusion, neck pain radiating, numbness",Neurologist
"dandruff, psoriasis, hives",Dermatologist
"rash with fever, child stomach pain, fast breathing",Pediatrician
"sensitivity to light, eye pain, eye discharge",Ophthalmologist
"non healing ulcer, breast lump, persistent fatigue",Oncologist
"hives, redness, eczema, skin rash",Dermatologist
"ear pain, sore throat, allergic rhinitis, hearing loss",ENT
"child sore throat, rash with fever, child wheezing",Pediatrician
"lower back pain radiating, back pain, swelling",Orthopedic
"abdominal swelling, difficulty swallowing, breast lump",Oncologist
"anxiety, stress, overthinking, anger issues",Psychiatrist
"diarrhea, stomach cramps",Gastroenterologist
"hives, skin rash",Dermatologist
"fatigue, cold, flu",General Physician
"shortness of breath, high blood pressure, irregular heartbeat",Cardiologist
"sore throat, cough, fever",General Physician
"anxiety, panic attacks",Psychiatrist
"difficulty seeing far, eye discharge, dry eyes",Ophthalmologist
"foreign body sensation, difficulty seeing far, eye discharge",Ophthalmologist
"tremor, fainting, severe headache",Neurologist
"constipation, food poisoning",Gastroenterologist
"muscle strain, arthritis, neck stiffness",Orthopedic
"white discharge, heavy bleeding, lower abdominal pain, painful periods",Gynecologist
"itchy eyes, sensitivity to light, eye pain",Ophthalmologist
"child cough, child sore throat, baby constipation, diarrhea",Pediatrician
"vaccination query, baby constipation",Pediatrician
"social anxiety, insomnia, anger issues",Psychiatrist
"leg swelling, dizziness, fatigue with breathlessness, palpitations",Cardiologist
"pressure in chest, left arm pain, shortness of breath",Cardiologist
"mouth ulcer, tooth pain with headache, toothache",Dentist
"watering eyes, blurred vision, eye strain headache",Ophthalmologist
"heartburn, vomiting, abdominal pain",Gastroenterologist
"blocked nose, baby constipation, vaccination query",Pediatrician
"foreign body sensation, eye discharge, itchy eyes, blurred vision",Ophthalmologist
"wrist injury, muscle strain, sprain, neck stiffness",Orthopedic
"ear pain, child stomach pain, diarrhea, rash with fever",Pediatrician
"dandruff, skin allergy, skin rash",Dermatologist
"tooth sensitivity, bleeding gums, cavity pain",Dentist
"hives, dry skin, skin rash",Dermatologist
"swollen lymph nodes, persistent fatigue, loss of appetite",Oncologist
"sweating, left arm pain, dizziness",Cardiologist
"back pain near kidneys, frequent urination, painful urination with fever",Urologist
"redness, hives, fungal infection",Dermatologist
"fatigue, headache, dizziness",General Physician
"ear pain, vertigo, sinus pain",ENT
"tooth pain with headache, swollen gums",Dentist
"weakness, flu, runny nose, sore throat",ENT
"night vision problem, eye pain, double vision",Ophthalmologist
"cold, fatigue",General Physician
"boils, fungal infection, pigmentation",Dermatologist
"fast breathing, diarrhea, baby vomiting",Pediatrician
"fungal infection, itching, skin rash",Dermatologist
"tooth sensitivity, wisdom tooth pain",Dentist
"lower abdominal pain urination, urine leakage, reduced urine flow, urine infection",Urologist
"blood in stool, acidity, stomach cramps",Gastroenterologist
"skin rash, acne, dandruff, eczema",Dermatologist
"frequent urination, blood in urine, difficulty starting urination",Urologist
"difficulty starting urination, blood in urine, urine leakage",Urologist
"difficulty swallowing, unusual bleeding, blood in cough",Oncologist
"swollen gums, gum swelling, tooth pain with headache",Dentist
"painful urination with fever, groin pain, urine leakage, burning urination",Urologist
"blocked nose, ear pain, child sore throat",Pediatrician
"chest pain, irregular heartbeat",Cardiologist
"heartburn, constipation, abdominal pain",Gastroenterologist
"tooth sensitivity, wisdom tooth pain, mouth ulcer, bleeding gums",Dentist
"mild fever, runny nose, flu, sore throat",ENT
"severe headache, confusion, blurred vision with headache",Neurologist
"sprain, knee pain, wrist injury",Orthopedic
"dizziness, breathlessness at night, sweating",Cardiologist
"gas, vomiting, constipation",Gastroenterologist
"eye strain headache, dry eyes, eye discharge",Ophthalmologist
"itching, ringworm, hives",Dermatologist
"muscle strain, difficulty walking, back pain, fracture",Orthopedic
"anger issues, difficulty concentrating, mood swings, hopelessness",Psychiatrist
"back pain, bone pain, hip pain, swelling",Orthopedic
"mild fever, sore throat, headache",General Physician
"rash with fever, fast breathing, vaccination query",Pediatrician
"gum swelling, cavity pain, bleeding while brushing",Dentist
"arthritis, knee pain, difficulty walking",Orthopedic
"tonsillitis, vertigo, blocked nose",ENT
"urinary urgency, burning urination",Urologist
"difficulty seeing far, sensitivity to light",Ophthalmologist
"low grade fever, runny nose",General Physician
"fatigue with breathlessness, fainting, pressure in chest, chest pain",Cardiologist
"lower abdominal pain urination, back pain near kidneys, blood in urine",Urologist
"non healing ulcer, persistent hoarseness, abdominal swelling, persistent bone pain",Oncologist
"one sided weakness, migraine, seizure",Neurologist
"sore throat, ear pain, runny nose, hearing loss",ENT
"blurred vision with headache, tremor, one sided weakness, confusion",Neurologist
"vomiting, jaundice, acidity",Gastroenterologist
"depressed mood, suicidal thoughts, anxiety",Psychiatrist
"left arm pain, leg swelling",Cardiologist
"frequent urination, painful urination with fever, urine infection",Urologist
"throat infection, ringing in ear, loss of voice, swollen neck glands",ENT
"knee pain, sprain, wrist injury, lower back pain radiating",Orthopedic
"seizure, numbness",Neurologist
"jaundice, diarrhea, loss of appetite, nausea",Gastroenterologist
"depressed mood, panic attacks",Psychiatrist
"vertigo, ringing in ear, swollen neck glands, allergic rhinitis",ENT
"headache, dizziness, low grade fever",General Physician
"anxiety, suicidal thoughts, overthinking",Psychiatrist
"pcos symptoms, period cramps, itching",Gynecologist
"ear discharge, allergic rhinitis",ENT
"blurred vision, dry eyes, eye strain headache",Ophthalmologist
"jaundice, acidity, food poisoning",Gastroenterologist
"stomach cramps, constipation, heartburn",Gastroenterologist
"persistent bone pain, breast lump, persistent hoarseness, night sweats",Oncologist
"swollen eyelid, difficulty seeing far, eye pain, dry eyes",Ophthalmologist
"irregular heartbeat, chest pain, sweating, breathlessness at night",Cardiologist
"panic attacks, insomnia, social anxiety",Psychiatrist
"memory loss, dizziness, one sided weakness",Neurologist
"eye discharge, eye strain headache, sensitivity to light, difficulty seeing far",Ophthalmologist
"food poisoning, acidity, diarrhea, indigestion",Gastroenterologist
"hopelessness, depressed mood, difficulty concentrating",Psychiatrist
"lower abdominal pain urination, urinary urgency, kidney stone pain",Urologist
"tooth pain with headache, tooth sensitivity, cavity pain",Dentist
"loss of voice, ear pain, tonsillitis",ENT
"breast tenderness, lower abdominal pain, pregnancy nausea",Gynecologist
"blood in cough, loss of appetite, persistent cough",Oncologist
"blood in stool, blood in cough, persistent bone pain, difficulty swallowing",Oncologist
"panic attacks, mood swings",Psychiatrist
"frequent urination, urinary urgency",Urologist
"addiction, hallucinations",Psychiatrist
"tooth sensitivity, wisdom tooth pain, pus near gum, bad breath",Dentist
"trauma flashbacks, insomnia, mood swings, anxiety",Psychiatrist
"diarrhea, child fever, baby constipation, newborn feeding issue",Pediatrician
"rapid heartbeat, pressure in chest",Cardiologist
"sensitivity to light, foreign body sensation, itchy eyes",Ophthalmologist
"night urination, burning urination, groin pain, reduced urine flow",Urologist
"foreign body sensation, red eye, watering eyes, blurred vision",Ophthalmologist
"bleeding gums, swollen gums, toothache, tooth sensitivity",Dentist
"wisdom tooth pain, cavity pain, jaw pain, mouth ulcer",Dentist
"weakness, mild fever, fatigue, chills",General Physician
"tooth pain with headache, broken tooth, jaw pain",Dentist
"nausea, acidity, indigestion",Gastroenterologist
"suicidal thoughts, panic attacks",Psychiatrist
"kidney stone pain, urine infection, urine leakage",Urologist
"swollen lymph nodes, blood in stool",Oncologist
"mood swings, anger issues, anxiety",Psychiatrist
"panic attacks, stress",Psychiatrist
"jaw pain, swollen gums, mouth ulcer",Dentist
"reduced urine flow, back pain near kidneys, urine infection",Urologist
"skin rash, redness, dandruff, dry skin",Dermatologist
"indigestion, blood in stool, constipation",Gastroenterologist
"ear pain, allergic rhinitis, ear discharge",ENT
"gas, diarrhea, acidity",Gastroenterologist
"diarrhea, stomach cramps, nausea, constipation",Gastroenterologist
"cavity pain, bad breath, pain while chewing, tooth sensitivity",Dentist
"flu, cough, headache",General Physician
"mild fever, loss of appetite, cough",General Physician
"itching, dry skin, skin rash",Dermatologist
"stress, anger issues, hopelessness",Psychiatrist
"fatigue with breathlessness, fainting",Cardiologist
"numbness, seizure, confusion, one sided weakness",Neurologist
"lower abdominal pain urination, kidney stone pain, painful urination with fever",Urologist
"back pain near kidneys, lower abdominal pain urination, urinary urgency",Urologist
"cavity pain, swollen gums, jaw pain, broken tooth",Dentist
"boils, acne",Dermatologist
"pressure in chest, irregular heartbeat, palpitations",Cardiologist
"night vision problem, dry eyes",Ophthalmologist
"eczema, boils, redness",Dermatologist
"eye strain headache, swollen eyelid",Ophthalmologist
"nausea, loss of appetite, diarrhea",Gastroenterologist
"food poisoning, bloating, vomiting",Gastroenterologist
"period cramps, vaginal infection, spotting",Gynecologist
"pregnancy nausea, white discharge, painful periods",Gynecologist
"blurred vision, night vision problem",Ophthalmologist
"cold, flu, fatigue",General Physician
"anger issues, depressed mood, addiction, mood swings",Psychiatrist
"anxiety, anger issues",Psychiatrist
"fast breathing, baby constipation, diarrhea, child wheezing",Pediatrician
"urine infection, painful urination with fever, frequent urination",Urologist
"indigestion, diarrhea, heartburn",Gastroenterologist
"urine leakage, urine infection, night urination",Urologist
"addiction, depressed mood",Psychiatrist
"mild fever, chills",General Physician
"weakness, cough, chills",General Physician
"mood swings, overthinking, depressed mood",Psychiatrist
"persistent bone pain, night sweats, unexplained weight loss",Oncologist
"anxiety, hallucinations, addiction",Psychiatrist
"jaw pain, broken tooth, bleeding while brushing",Dentist
"baby constipation, vaccination query, child wheezing",Pediatrician
"hives, itching",Dermatologist
"breathlessness at night, shortness of breath, chest pain",Cardiologist
"sore throat, throat infection, blocked nose",ENT
"chest tightness, left arm pain, palpitations, leg swelling",Cardiologist
"missed period, breast tenderness, vaginal infection",Gynecologist
"blocked nose, throat infection, ear pain, nose bleeding",ENT
"itching, fungal infection, ringworm, dandruff",Dermatologist
"abdominal swelling, blood in cough, non healing ulcer, swollen lymph nodes",Oncologist
"anxiety, depressed mood, overthinking, panic attacks",Psychiatrist
"testicular swelling, night urination",Urologist
"hearing loss, blocked nose, loss of voice",ENT
"irregular periods, pregnancy nausea, heavy bleeding, lower abdominal pain",Gynecologist
"sore throat, dizziness, cold, chills",General Physician
"loss of appetite, blood in cough, difficulty swallowing",Oncologist
"anger issues, panic attacks, suicidal thoughts",Psychiatrist
"fast breathing, baby vomiting, vaccination query",Pediatrician
"loss of appetite, vomiting",Gastroenterologist
"night urination, urinary urgency",Urologist
"chest pain, fatigue with breathlessness, left arm pain",Cardiologist
"abdominal pain, nausea, bloating",Gastroenterologist
"speech difficulty, seizure, one sided weakness, confusion",Neurologist
"bad breath, tooth pain with headache, pus near gum, jaw pain",Dentist
"red eye, swollen eyelid, foreign body sensation",Ophthalmologist
"breathlessness at night, high blood pressure",Cardiologist
"fast breathing, child wheezing, baby vomiting",Pediatrician
"sore throat, cold, low grade fever, loss of appetite",General Physician
"stress, hallucinations, anger issues",Psychiatrist
"non healing ulcer, persistent cough",Oncologist
"persistent hoarseness, persistent bone pain, blood in cough, night sweats",Oncologist
"fainting, palpitations, chest pain",Cardiologist
"fatigue, loss of appetite, cold",General Physician
"night vision problem, blurred vision",Ophthalmologist
"fracture, knee pain, sprain",Orthopedic
"dizziness, irregular heartbeat, fatigue with breathlessness, rapid heartbeat",Cardiologist
"breast tenderness, missed period, painful periods",Gynecologist
"leg swelling, sweating",Cardiologist
"leg swelling, chest tightness, rapid heartbeat",Cardiologist
"arthritis, fracture, muscle strain",Orthopedic
"itching, spotting, painful periods, white discharge",Gynecologist
"sudden vision loss, eye pain, blurred vision",Ophthalmologist
"tingling, balance problem, neck pain radiating",Neurologist
"palpitations, high blood pressure, irregular heartbeat",Cardiologist
"body ache, loss of appetite, runny nose, mild fever",General Physician
"difficulty seeing far, blurred vision, night vision problem, itchy eyes",Ophthalmologist
"dizziness, memory loss, one sided weakness",Neurologist
"hives, itching, eczema",Dermatologist
"body ache, flu, low grade fever",General Physician
"flu, fever",General Physician
"dry eyes, red eye, foreign body sensation, watering eyes",Ophthalmologist
"blood in stool, persistent fatigue, difficulty swallowing, non healing ulcer",Oncologist
"dizziness, pressure in chest, left arm pain",Cardiologist
"tooth sensitivity, pus near gum, bleeding while brushing",Dentist
"body ache, cough, cold, dizziness",General Physician
"persistent hoarseness, swollen lymph nodes, persistent cough",Oncologist
"bleeding while brushing, swollen gums, bad breath",Dentist
"suicidal thoughts, stress, anger issues",Psychiatrist
"runny nose, ringing in ear, tonsillitis",ENT
"irregular heartbeat, left arm pain, fatigue with breathlessness",Cardiologist
"breathlessness at night, leg swelling",Cardiologist
"shortness of breath, breathlessness at night, high blood pressure",Cardiologist
"kidney stone pain, urine infection, urine leakage",Urologist
"nose bleeding, blocked nose",ENT
"testicular swelling, painful urination with fever, kidney stone pain",Urologist
"child sore throat, child stomach pain, blocked nose, child cough",Pediatrician
"flu, chills, loss of appetite, weakness",General Physician
"foreign body sensation, sudden vision loss, difficulty seeing far",Ophthalmologist
"watering eyes, swollen eyelid, eye strain headache",Ophthalmologist
"bloating, stomach cramps, blood in stool, indigestion",Gastroenterologist
"pigmentation, dry skin, skin rash, dandruff",Dermatologist
"child cough, rash with fever, baby constipation",Pediatrician
"swelling, joint pain, wrist injury",Orthopedic
"vertigo, ear pain",ENT
"watering eyes, foreign body sensation, eye pain",Ophthalmologist
"abdominal pain, gas, food poisoning",Gastroenterologist
"gum swelling, toothache, jaw pain",Dentist
"anger issues, panic attacks, suicidal thoughts",Psychiatrist
"pelvic pain, breast tenderness, postpartum bleeding",Gynecologist
"left arm pain, palpitations",Cardiologist
"low grade fever, flu",General Physician
"anxiety, hopelessness, addiction",Psychiatrist
"dizziness, fever, fatigue",General Physician
"eye strain headache, sensitivity to light, watering eyes",Ophthalmologist
"gum swelling, tooth sensitivity",Dentist
"hip pain, swelling, back pain, difficulty walking",Orthopedic
"non healing ulcer, persistent hoarseness, blood in cough",Oncologist
"nose bleeding, swollen neck glands, ear discharge",ENT
"abdominal pain, diarrhea",Gastroenterologist
"testicular swelling, reduced urine flow",Urologist
"foreign body sensation, sudden vision loss, sensitivity to light",Ophthalmologist
"pcos symptoms, breast tenderness, vaginal infection",Gynecologist
"child cough, blocked nose, baby vomiting",Pediatrician
"fainting, pressure in chest, rapid heartbeat",Cardiologist
"constipation, blood in stool, loss of appetite, stomach cramps",Gastroenterologist
"pelvic pain, painful periods, vaginal infection",Gynecologist
"blood in stool, persistent cough, night sweats",Oncologist
"stress, depressed mood",Psychiatrist
"numbness, migraine, blurred vision with headache",Neurologist
"anger issues, suicidal thoughts, mood swings",Psychiatrist
"painful urination with fever, back pain near kidneys, groin pain",Urologist
"child fever, child wheezing, child stomach pain",Pediatrician
"pigmentation, ringworm, hair fall",Dermatologist
"acidity, diarrhea, vomiting",Gastroenterologist
"groin pain, reduced urine flow, burning urination",Urologist
"night vision problem, eye strain headache, watering eyes, swollen eyelid",Ophthalmologist
"fast breathing, baby vomiting, child fever",Pediatrician
"irregular periods, pcos symptoms, painful periods",Gynecologist
"rash with fever, child cough",Pediatrician
"muscle strain, difficulty walking",Orthopedic
"non healing ulcer, swollen lymph nodes",Oncologist
"constipation, stomach cramps, gas",Gastroenterologist
"pain while chewing, bleeding while brushing, cavity pain",Dentist
"wrist injury, difficulty walking",Orthopedic
"abdominal pain, jaundice, vomiting",Gastroenterologist
"fainting, pressure in chest, sweating",Cardiologist
"joint pain, sprain, muscle strain",Orthopedic
"knee pain, bone pain, shoulder pain",Orthopedic
"vaginal infection, missed period, pcos symptoms",Gynecologist
"tooth pain with headache, wisdom tooth pain, tooth sensitivity",Dentist
"indigestion, abdominal pain, heartburn",Gastroenterologist
"dizziness, weakness, cough",General Physician
"sweating, breathlessness at night, leg swelling, pressure in chest",Cardiologist
"pain while chewing, wisdom tooth pain",Dentist
"leg swelling, sweating, palpitations, breathlessness at night",Cardiologist
"blood in stool, heartburn, bloating",Gastroenterologist
"pigmentation, psoriasis",Dermatologist
"cold, body ache",General Physician
"bleeding while brushing, tooth pain with headache, jaw pain, swollen gums",Dentist
"nose bleeding, ringing in ear, loss of voice, tonsillitis",ENT
"fatigue with breathlessness, pressure in chest, left arm pain, irregular heartbeat",Cardiologist
"fracture, lower back pain radiating, swelling, arthritis",Orthopedic
"rash with fever, blocked nose, dehydration",Pediatrician
"night sweats, non healing ulcer, persistent bone pain, loss of appetite",Oncologist
"cold, weakness, cough, dizziness",General Physician
"food poisoning, bloating, jaundice, nausea",Gastroenterologist
"diarrhea, baby constipation, dehydration, blocked nose",Pediatrician
"ear pain, newborn feeding issue, blocked nose, child fever",Pediatrician
"difficulty walking, muscle strain",Orthopedic
"lower abdominal pain urination, testicular swelling",Urologist
"dehydration, baby constipation, child sore throat",Pediatrician
"constipation, blood in stool, gas",Gastroenterologist
"jaundice, bloating, heartburn",Gastroenterologist
"chest tightness, fainting, sweating, irregular heartbeat",Cardiologist
"tremor, severe headache, blurred vision with headache",Neurologist
"dehydration, rash with fever, child cough, diarrhea",Pediatrician
"hair fall, fungal infection, dry skin",Dermatologist
"double vision, foreign body sensation, dry eyes",Ophthalmologist
"dizziness, confusion",Neurologist
"itching, hair fall, eczema",Dermatologist
"sensitivity to light, dry eyes",Ophthalmologist
